인증번호,업체명,제품명,제품군,탄소배출량(kgCO2eq),인증일자,인증구분
제2020-001,A식품,생수 2L,먹는샘물,0.12,2020-03-11,저탄소
제2020-014,B음료,탄산음료 500ml,음료,0.19,2020-05-20,일반
제2021-052,C제지,복사용지 A4 1박스,종이제품,6.4,2021-02-18,저탄소
제2021-133,D전자,LED 전구 10W,조명기기,2.1,2021-09-02,일반
제2022-021,E화학,주방세제 1L,세제류,1.05,2022-04-14,저탄소
제2022-088,F섬유,면 티셔츠,의류,3.3,2022-07-30,일반
제2023-004,G건자재,시멘트 40kg,건축자재,32.1,2023-01-19,일반
제2023-076,H가전,냉장고 300L급,가전제품,410.0,2023-08-05,저탄소
제2024-012,I식품,두부 300g,가공식품,0.35,2024-03-22,저탄소
제2024-045,J생활,화장지 30롤,위생용품,4.8,2024-06-10,일반
제2021-001,제주특별자치도개발공사,삼다수 500ml,먹는샘물,0.08,2021-01-15,저탄소
제2021-002,제주특별자치도개발공사,삼다수 2L,먹는샘물,0.14,2021-01-15,저탄소
제2021-015,롯데칠성음료,아이시스 8.0 500ml,먹는샘물,0.07,2021-03-10,저탄소
제2021-016,롯데칠성음료,칠성사이다 500ml PET,음료,0.18,2021-04-20,일반
제2021-022,코카콜라음료,코카콜라 355ml CAN,음료,0.15,2021-05-12,일반
제2021-023,코카콜라음료,코카콜라 500ml PET,음료,0.21,2021-05-12,일반
제2021-035,동아오츠카,포카리스웨트 620ml,음료,0.19,2021-06-01,일반
제2021-041,서울우유협동조합,서울우유 1L,유제품,1.32,2021-07-15,일반
제2021-042,매일유업,매일우유 저지방 1L,유제품,1.25,2021-07-20,저탄소
제2021-055,빙그레,바나나맛우유 240ml,유제품,0.28,2021-08-11,일반
제2021-070,오뚜기,진라면 매운맛 봉지,가공식품,0.42,2021-09-05,일반
제2021-071,농심,신라면 봉지,가공식품,0.45,2021-09-10,일반
제2021-085,CJ제일제당,햇반 210g,가공식품,0.31,2021-10-02,저탄소
제2021-086,CJ제일제당,비비고 왕교자 1.05kg,가공식품,2.45,2021-10-15,일반
제2021-092,풀무원식품,국산콩 두부 300g,가공식품,0.33,2021-11-20,저탄소
제2022-005,LG생활건강,퐁퐁 주방세제 1.2L,세제류,1.15,2022-01-08,저탄소
제2022-006,애경산업,트리오 주방세제 1L,세제류,0.98,2022-01-14,저탄소
제2022-018,유한양행,유한락스 2L,세제류,1.85,2022-02-25,일반
제2022-030,유한킴벌리,크리넥스 3겹 화장지 30롤,위생용품,4.60,2022-03-12,저탄소
제2022-031,깨끗한나라,순수 3겹 데코 화장지 30롤,위생용품,4.85,2022-03-20,일반
제2022-045,한솔제지,복사용지 A4 80g 1박스,종이제품,6.20,2022-04-18,저탄소
제2022-046,무림P&P,네오스타 복사용지 A4 1박스,종이제품,6.50,2022-04-25,일반
제2022-060,BYC,면 100% 반팔 티셔츠,의류,3.10,2022-06-10,일반
제2022-061,이랜드월드,스파오 오가닉 티셔츠,의류,2.80,2022-06-18,저탄소
제2022-075,쌍용C&E,포틀랜드 시멘트 40kg,건축자재,31.50,2022-07-22,일반
제2022-076,한일시멘트,혼합시멘트 40kg,건축자재,27.80,2022-07-29,저탄소
제2022-090,KCC,석고보드 9.5mm,건축자재,4.10,2022-09-05,저탄소
제2023-010,LG전자,디오스 오브제컬렉션 냉장고 832L,가전제품,520.00,2023-01-15,저탄소
제2023-011,삼성전자,비스포크 4도어 냉장고 840L,가전제품,540.00,2023-01-20,저탄소
제2023-025,LG전자,트롬 세탁기 24kg,가전제품,210.00,2023-02-14,저탄소
제2023-026,삼성전자,그랑데 세탁기 25kg,가전제품,215.00,2023-02-22,일반
제2023-040,삼성전자,네오 QLED TV 65인치,가전제품,185.00,2023-04-10,일반
제2023-041,LG전자,올레드 TV 65인치,가전제품,160.00,2023-04-18,저탄소
제2023-055,번개표,LED 십자등 50W,조명기기,4.20,2023-05-30,일반
제2023-056,필립스,LED 전구 9W,조명기기,1.80,2023-06-05,저탄소
제2023-070,현대모비스,자동차 에어컨 필터,자동차부품,1.45,2023-08-11,일반
제2023-085,한국타이어,벤투스 프리미엄 타이어 1본,자동차부품,28.60,2023-10-15,일반
제2024-001,CJ제일제당,백설 하얀설탕 1kg,가공식품,0.58,2024-01-10,일반
제2024-002,삼양사,큐원 갈색설탕 1kg,가공식품,0.61,2024-01-12,일반
제2024-015,하이트진로,참이슬 후레쉬 360ml 유리병,음료,0.36,2024-02-20,저탄소
제2024-016,오비맥주,카스 프레시 500ml CAN,음료,0.22,2024-02-25,일반
제2024-028,동원F&B,라이트스탠다드 참치 135g CAN,가공식품,0.48,2024-03-15,일반
제2024-040,하림,용가리치킨 300g,가공식품,0.85,2024-05-10,일반
제2024-052,유한킴벌리,하기스 네이처메이드 기저귀 1팩,위생용품,8.20,2024-06-18,저탄소
